benchmark,algorithm,trace,t_total,t_exec,t_checkpoint,t_recharge,t_rest
aes,milp,1,0.96441681,0.10139322,0.006353739999999997,0.8564534399999999,0.00021641000000011124
aes,milp,2,0.89171175,0.10139322,0.006353739999999997,0.78374774,0.0002170499999999964
aes,milp,3,0.56256075,0.10139322,0.006353739999999997,0.45459879999999997,0.0002149900000000815
aes,milp,4,6.09341374,0.10139322,0.006353739999999997,5.9854502599999995,0.00021652000000044191
aes,milp,5,6.2039409,0.10139322,0.006353739999999997,6.09597938,0.00021455999999991926
aes,milp,6,1.2472563799999998,0.10139322,0.006353739999999997,1.1392973400000002,0.0002120799999996703
aes,milp,7,5.32929416,0.10139322,0.006353739999999997,5.221329900000001,0.0002172999999992542
aes,milp,8,5.4291373,0.10139322,0.006353739999999997,5.321176400000001,0.0002139399999992464
aes,milp,9,5.86820123,0.10139322,0.006353739999999997,5.76023614,0.00021813000000042715
aes,milp,10,4.08071636,0.10139322,0.006353739999999997,3.9727604,0.0002090000000004033
aes,rockclimb,1,13.44137824,0.10139322,0.4495824,12.89665198,-0.006249359999999093
aes,rockclimb,2,16.3769752,0.10139322,0.4495824,15.832145720000002,-0.006146140000001132
aes,rockclimb,3,13.2114083,0.10139322,0.4495824,12.666336869999999,-0.0059041899999980885
aes,rockclimb,4,63.693389200000006,0.10139322,0.4495824,63.148525119999995,-0.006111539999989368
aes,rockclimb,5,46.578013420000005,0.10139322,0.4495824,46.03323581,-0.006198009999995868
aes,rockclimb,6,20.176720120000002,0.10139322,0.4495824,19.63198427,-0.006239769999997868
aes,rockclimb,7,36.42883874,0.10139322,0.4495824,35.88408949,-0.006226369999997594
aes,rockclimb,8,51.73319194,0.10139322,0.4495824,51.188272979999994,-0.00605665999999605
aes,rockclimb,9,50.859215049999996,0.10139322,0.4495824,50.31456681,-0.006327380000006322
aes,rockclimb,10,43.49728777,0.10139322,0.4495824,42.952659,-0.006346849999997239
aes,schematic,1,35.29294651,0.10139322,1.2077665499999999,33.99175231,-0.007965570000002309
aes,schematic,2,40.87192274,0.10139322,1.2077665499999999,39.57064108,-0.007878109999999161
aes,schematic,3,32.14547836,0.10139322,1.2077665499999999,30.84386212,-0.007543530000002185
aes,schematic,4,146.72123587000002,0.10139322,1.2077665499999999,145.41986968999998,-0.007793589999969264
aes,schematic,5,117.82280951,0.10139322,1.2077665499999999,116.52151134,-0.007861600000004465
aes,schematic,6,51.11499211,0.10139322,1.2077665499999999,49.813779350000004,-0.00794701000000142
aes,schematic,7,88.63204304000001,0.10139322,1.2077665499999999,87.3308452,-0.007961929999985351
aes,schematic,8,125.57277622,0.10139322,1.2077665499999999,124.27131156,-0.007695110000006444
aes,schematic,9,123.36988189,0.10139322,1.2077665499999999,122.06872859,-0.008006470000004207
aes,schematic,10,110.47117757,0.10139322,1.2077665499999999,109.17005025,-0.008032450000007962
aes,schematicO3,1,3.39734334,0.10139322,0.024793919999999997,3.27184734,-0.0006911399999999512
aes,schematicO3,2,4.454920990000001,0.10139322,0.024793919999999997,4.329413639999999,-0.0006797899999987644
aes,schematicO3,3,1.37192622,0.10139322,0.024793919999999997,1.2463765800000002,-0.0006375000000002073
aes,schematicO3,4,14.55244359,0.10139322,0.024793919999999997,14.42692523,-0.0006687800000008404
aes,schematicO3,5,12.40079926,0.10139322,0.024793919999999997,12.2752866,-0.0006744799999999496
aes,schematicO3,6,5.202566780000001,0.10139322,0.024793919999999997,5.07705753,-0.0006778899999996535
aes,schematicO3,7,9.996464060000001,0.10139322,0.024793919999999997,9.87096483,-0.0006879099999991534
aes,schematicO3,8,11.61938643,0.10139322,0.024793919999999997,11.49385705,-0.0006577600000003125
aes,schematicO3,9,13.39757357,0.10139322,0.024793919999999997,13.27207191,-0.0006854799999988226
aes,schematicO3,10,11.89784587,0.10139322,0.024793919999999997,11.77234971,-0.0006909800000009236
crc,milp,1,0.09518239,0.02959565,0.0008860899999999991,0.06471995999999999,-1.930999999998767e-05
crc,milp,2,0.42364127,0.02959565,0.0008860899999999991,0.39317693,-1.7399999999966054e-05
crc,milp,3,0.11947484,0.02959565,0.0008860899999999991,0.0890128,-1.9700000000004436e-05
crc,milp,4,0.83856884,0.02959565,0.0008860899999999991,0.80810663,-1.953000000006616e-05
crc,milp,5,0.09495381,0.02959565,0.0008860899999999991,0.06449178,-1.9709999999999173e-05
crc,milp,6,0.6670841999999999,0.02959565,0.0008860899999999991,0.63662171,-1.925000000010252e-05
crc,milp,7,1.86039906,0.02959565,0.0008860899999999991,1.82993683,-1.9510000000076688e-05
crc,milp,8,0.84822929,0.02959565,0.0008860899999999991,0.81776558,-1.8029999999967516e-05
crc,milp,9,0.8967488,0.02959565,0.0008860899999999991,0.86628569,-1.862999999998477e-05
crc,milp,10,0.09515414999999999,0.02959565,0.0008860899999999991,0.06469458,-2.217000000000885e-05
crc,rockclimb,1,5.05078373,0.02959565,0.18659930000000002,4.8376141200000005,-0.0030253400000004593
crc,rockclimb,2,4.79611951,0.02959565,0.18659930000000002,4.58292874,-0.0030041800000002727
crc,rockclimb,3,4.580761389999999,0.02959565,0.18659930000000002,4.3674417000000005,-0.002875260000001295
crc,rockclimb,4,22.4198214,0.02959565,0.18659930000000002,22.206586350000002,-0.0029599000000020415
crc,rockclimb,5,17.351051050000002,0.02959565,0.18659930000000002,17.13786913,-0.003013029999996225
crc,rockclimb,6,6.32569118,0.02959565,0.18659930000000002,6.11253211,-0.0030358800000003516
crc,rockclimb,7,15.54234356,0.02959565,0.18659930000000002,15.32917268,-0.0030240699999984078
crc,rockclimb,8,19.24818749,0.02959565,0.18659930000000002,19.03496441,-0.0029718700000012366
crc,rockclimb,9,18.34498409,0.02959565,0.18659930000000002,18.13181819,-0.0030290500000001164
crc,rockclimb,10,15.80338131,0.02959565,0.18659930000000002,15.59020027,-0.0030139099999997587
crc,schematic,1,8.57168532,0.02959565,0.28974898000000004,8.25488728,-0.002546589999999904
crc,schematic,2,12.17862809,0.02959565,0.28974898000000004,11.861760720000001,-0.002477260000001147
crc,schematic,3,8.98413926,0.02959565,0.28974898000000004,8.667121230000001,-0.002326600000001955
crc,schematic,4,42.749186380000005,0.02959565,0.28974898000000004,42.43228045,-0.002438699999995686
crc,schematic,5,34.10069279,0.02959565,0.28974898000000004,33.783821270000004,-0.0024731100000077166
crc,schematic,6,12.021859130000001,0.02959565,0.28974898000000004,11.70500438,-0.002489879999999056
crc,schematic,7,26.21307602,0.02959565,0.28974898000000004,25.89623461,-0.0025032200000014715
crc,schematic,8,34.703039049999994,0.02959565,0.28974898000000004,34.386093130000006,-0.0023987100000122386
crc,schematic,9,35.8351421,0.02959565,0.28974898000000004,35.518316,-0.002518529999999908
crc,schematic,10,31.58521056,0.02959565,0.28974898000000004,31.26837726,-0.002511330000001033
crc,schematicO3,1,0.11340513,0.02959565,0.008726400000000002,0.07497767,0.00010541000000000716
crc,schematicO3,2,0.53957824,0.02959565,0.008726400000000002,0.50115012,0.0001060699999999512
crc,schematicO3,3,0.13765299,0.02959565,0.008726400000000002,0.09922517,0.00010576999999999809
crc,schematicO3,4,1.45234116,0.02959565,0.008726400000000002,1.4139126100000001,0.0001064999999998914
crc,schematicO3,5,1.8346935,0.02959565,0.008726400000000002,1.79626566,0.00010578999999998756
crc,schematicO3,6,0.69911015,0.02959565,0.008726400000000002,0.6606836700000001,0.00010442999999992625
crc,schematicO3,7,2.0252344,0.02959565,0.008726400000000002,1.9868073,0.000105050000000044
crc,schematicO3,8,0.86780382,0.02959565,0.008726400000000002,0.82937635,0.00010542000000001578
crc,schematicO3,9,0.91486139,0.02959565,0.008726400000000002,0.8764356999999999,0.00010364000000006451
crc,schematicO3,10,0.11350011,0.02959565,0.008726400000000002,0.07507488000000001,0.00010317999999998745
rsa,milp,1,0.1997146,0.04371333,0.0038689399999999943,0.15225016,-0.00011782999999999932
rsa,milp,2,0.66633853,0.04371333,0.0038689399999999943,0.6188714000000001,-0.00011514000000008295
rsa,milp,3,0.25635029,0.04371333,0.0038689399999999943,0.20887735999999998,-0.00010933999999999944
rsa,milp,4,3.4386735699999997,0.04371333,0.0038689399999999943,3.3912016,-0.00011030000000029905
rsa,milp,5,3.12751224,0.04371333,0.0038689399999999943,3.08004194,-0.00011196999999991963
rsa,milp,6,1.0840865,0.04371333,0.0038689399999999943,1.03661635,-0.00011212000000011824
rsa,milp,7,3.04412634,0.04371333,0.0038689399999999943,2.9966549,-0.00011082999999974252
rsa,milp,8,2.33895903,0.04371333,0.0038689399999999943,2.29148579,-0.00010903000000002383
rsa,milp,9,3.36470584,0.04371333,0.0038689399999999943,3.3172350600000002,-0.00011149000000017228
rsa,milp,10,0.1998017,0.04371333,0.0038689399999999943,0.15233235,-0.00011292000000000246
rsa,rockclimb,1,32.80170991,0.04371333,1.40150754,31.378816760000003,-0.022327720000003604
rsa,rockclimb,2,39.81971713,0.04371333,1.40150754,38.39633106,-0.02183480000000082
rsa,rockclimb,3,35.764049299999996,0.04371333,1.40150754,34.339788490000004,-0.020960060000007497
rsa,rockclimb,4,150.14280890999999,0.04371333,1.40150754,148.71931231,-0.021724270000007317
rsa,rockclimb,5,110.38894925,0.04371333,1.40150754,108.96556488,-0.021836500000006476
rsa,rockclimb,6,47.584454799999996,0.04371333,1.40150754,46.161137200000006,-0.021903270000010133
rsa,rockclimb,7,83.06927791,0.04371333,1.40150754,81.64579013,-0.021733089999998123
rsa,rockclimb,8,125.6130634,0.04371333,1.40150754,124.18863508,-0.020792549999996135
rsa,rockclimb,9,120.83566005,0.04371333,1.40150754,119.41109161,-0.02065242999999861
rsa,rockclimb,10,106.4939921,0.04371333,1.40150754,105.06884541,-0.020074179999994834
rsa,schematic,1,2.70427165,0.04371333,0.06418728999999998,2.59580958,0.0005614499999998662
rsa,schematic,2,4.30252196,0.04371333,0.06418728999999998,4.19404294,0.0005783999999998818
rsa,schematic,3,1.30227491,0.04371333,0.06418728999999998,1.1937525,0.0006217899999999693
rsa,schematic,4,13.93348205,0.04371333,0.06418728999999998,13.8249884,0.0005930299999997862
rsa,schematic,5,11.178451449999999,0.04371333,0.06418728999999998,11.06996261,0.000588219999999709
rsa,schematic,6,4.69177507,0.04371333,0.06418728999999998,4.5832913,0.0005831500000003237
rsa,schematic,7,9.01610892,0.04371333,0.06418728999999998,8.907626789999998,0.0005815100000022971
rsa,schematic,8,10.14909125,0.04371333,0.06418728999999998,10.040577599999999,0.0006130300000008054
rsa,schematic,9,10.92159594,0.04371333,0.06418728999999998,10.81311857,0.0005767499999992515
rsa,schematic,10,8.0790095,0.04371333,0.06418728999999998,7.970531650000001,0.0005772299999989988
rsa,schematicO3,1,0.86573234,0.04371333,0.012992030000000002,0.8092539200000001,-0.00022694000000008513
rsa,schematicO3,2,0.778328,0.04371333,0.012992030000000002,0.7218483299999999,-0.0002256899999999104
rsa,schematicO3,3,0.58600177,0.04371333,0.012992030000000002,0.52949425,-0.000197840000000081
rsa,schematicO3,4,6.05554736,0.04371333,0.012992030000000002,5.99905391,-0.00021190999999950305
rsa,schematicO3,5,4.9493605,0.04371333,0.012992030000000002,4.8928749400000004,-0.00021980000000040162
rsa,schematicO3,6,1.16953652,0.04371333,0.012992030000000002,1.11306073,-0.00022956999999986655
rsa,schematicO3,7,4.43274069,0.04371333,0.012992030000000002,4.37626399,-0.00022865999999984593
rsa,schematicO3,8,5.380932179999999,0.04371333,0.012992030000000002,5.324452679999999,-0.00022585999999998746
rsa,schematicO3,9,5.84586951,0.04371333,0.012992030000000002,5.78939844,-0.00023429000000026873
rsa,schematicO3,10,4.00819379,0.04371333,0.012992030000000002,3.9517275499999998,-0.00023911999999978034
dijkstra,milp,1,0.11467244,0.025736259999999997,0.0021177700000000015,0.08679619000000001,2.221999999999294e-05
dijkstra,milp,2,0.54209664,0.025736259999999997,0.0021177700000000015,0.5142161,2.651000000006634e-05
dijkstra,milp,3,0.13814239,0.025736259999999997,0.0021177700000000015,0.1102644,2.3960000000006892e-05
dijkstra,milp,4,1.4561781399999998,0.025736259999999997,0.0021177700000000015,1.42830032,2.3789999999832695e-05
dijkstra,milp,5,1.85141077,0.025736259999999997,0.0021177700000000015,1.82353215,2.4590000000077744e-05
dijkstra,milp,6,0.7026165,0.025736259999999997,0.0021177700000000015,0.67473912,2.334999999995327e-05
dijkstra,milp,7,2.02260299,0.025736259999999997,0.0021177700000000015,1.99472338,2.5580000000278297e-05
dijkstra,milp,8,0.86986618,0.025736259999999997,0.0021177700000000015,0.8419830500000001,2.9099999999979836e-05
dijkstra,milp,9,0.90719061,0.025736259999999997,0.0021177700000000015,0.87931149,2.509000000003661e-05
dijkstra,milp,10,0.11467780999999999,0.025736259999999997,0.0021177700000000015,0.08680055,2.3229999999988676e-05
dijkstra,rockclimb,1,40.52220224,0.025736259999999997,1.77881203,38.74054732,-0.022893369999998914
dijkstra,rockclimb,2,51.34189867,0.025736259999999997,1.77881203,49.56013849,-0.022788110000000916
dijkstra,rockclimb,3,44.7051607,0.025736259999999997,1.77881203,42.92271382,-0.0221014099999981
dijkstra,rockclimb,4,189.47772743000002,0.025736259999999997,1.77881203,187.69571316,-0.02253401999998106
